day_pt,days_in_guild,muters,interval_start_timestamp
2024-10-01T00:00:00+00:00,Existing Members,3,2024-10-01T00:00:00+00:00
2024-10-01T00:00:00+00:00,New Members,1,2024-10-01T00:00:00+00:00
2024-10-02T00:00:00+00:00,Existing Members,3,2024-10-02T00:00:00+00:00
2024-10-02T00:00:00+00:00,New Members,16,2024-10-02T00:00:00+00:00
2024-10-03T00:00:00+00:00,Existing Members,1,2024-10-03T00:00:00+00:00
2024-10-03T00:00:00+00:00,New Members,6,2024-10-03T00:00:00+00:00
2024-10-04T00:00:00+00:00,Existing Members,2,2024-10-04T00:00:00+00:00
2024-10-04T00:00:00+00:00,New Members,7,2024-10-04T00:00:00+00:00
2024-10-05T00:00:00+00:00,Existing Members,0,2024-10-05T00:00:00+00:00
2024-10-05T00:00:00+00:00,New Members,1,2024-10-05T00:00:00+00:00
2024-10-06T00:00:00+00:00,Existing Members,0,2024-10-06T00:00:00+00:00
2024-10-06T00:00:00+00:00,New Members,2,2024-10-06T00:00:00+00:00
2024-10-07T00:00:00+00:00,Existing Members,0,2024-10-07T00:00:00+00:00
2024-10-07T00:00:00+00:00,New Members,0,2024-10-07T00:00:00+00:00
2024-10-08T00:00:00+00:00,Existing Members,3,2024-10-08T00:00:00+00:00
2024-10-08T00:00:00+00:00,New Members,1,2024-10-08T00:00:00+00:00
2024-10-09T00:00:00+00:00,Existing Members,1,2024-10-09T00:00:00+00:00
2024-10-09T00:00:00+00:00,New Members,1,2024-10-09T00:00:00+00:00
2024-10-10T00:00:00+00:00,Existing Members,1,2024-10-10T00:00:00+00:00
2024-10-10T00:00:00+00:00,New Members,0,2024-10-10T00:00:00+00:00
2024-10-11T00:00:00+00:00,Existing Members,1,2024-10-11T00:00:00+00:00
2024-10-11T00:00:00+00:00,New Members,0,2024-10-11T00:00:00+00:00
2024-10-12T00:00:00+00:00,Existing Members,0,2024-10-12T00:00:00+00:00
2024-10-12T00:00:00+00:00,New Members,1,2024-10-12T00:00:00+00:00
2024-10-13T00:00:00+00:00,Existing Members,1,2024-10-13T00:00:00+00:00
2024-10-13T00:00:00+00:00,New Members,0,2024-10-13T00:00:00+00:00
2024-10-14T00:00:00+00:00,Existing Members,3,2024-10-14T00:00:00+00:00
2024-10-14T00:00:00+00:00,New Members,1,2024-10-14T00:00:00+00:00
2024-10-15T00:00:00+00:00,Existing Members,1,2024-10-15T00:00:00+00:00
2024-10-15T00:00:00+00:00,New Members,0,2024-10-15T00:00:00+00:00
